Y1;Y2;X1;X2;X3;X4;X5;U;V
42;2;99.4;11.49;8.89;5.5;12.76;8.19;111.1
100;6;98.5;14.14;7.79;4;21.48;7.87;111.46
36;6;100.3;13.55;6.6;3.9;17.86;8.05;111.71
110;5;94.6;10.17;7.53;3.1;14.47;8.07;111.9
85;13;99.1;11.77;5.27;3.8;17.41;8.13;112.21
145;13;93;14.54;5.68;3.3;11.21;7.81;112.04
80;7;97.2;10.78;4.48;1.6;21.33;8.14;112.57
113;5;101.4;10.65;5.66;4.9;21.03;8.13;113.23
270;30;96.2;14.13;4.72;5.5;33.33;8.17;113.7
104;9;97.9;8.97;6.68;3.6;24.85;8.22;114.37
141;6;91.9;22.95;7.11;8.3;43.04;7.91;113.82
126;7;103.5;16.05;7.16;7;38.35;7.71;114
92;7;103.4;25.76;6.51;5.4;40.63;7.76;113.42
102;11;92.3;17.51;5.11;3.7;17.07;7.65;112.91
106;15;98.3;4.36;4.54;1.1;6.04;7.45;112.72
64;13;100.2;8.72;6.83;3;12.52;7.46;112.43
105;10;102.8;12.45;6.89;4.4;13.29;7.56;112.23
98;9;96.5;16.37;4.56;4.3;18.01;7.6;111.9
51;5;99.4;10.91;7.72;4.5;17.71;7.54;111.65
51;3;103.6;13.74;7.04;3.6;16.76;7.66;111.33
75;7;97.2;14.77;6.16;3.7;19.36;7.4;111.45
106;14;103.7;18.09;6.94;4.9;22.35;7.15;111.88
86;10;101.6;17.15;6.34;4.7;24.32;6.9;112.07
76;9;106.7;14.98;6.4;3.8;21.08;7.12;112.41
51;6;96.4;13.03;7.68;2.8;13.97;7.17;112.6
109;3;85;19.81;4.65;1.6;12.39;7.05;112.74
59;1;104.7;28.21;4.92;4.4;26.26;7.19;113.24
39;5;84.3;21.36;6;4;14.24;7.16;113.47
27;8;84.3;14.85;5.67;5.3;23.03;7.01;113.86
5;1;96;10.99;11.87;3.7;7.27;7.81;112.01
22;3;95.2;9.55;10.68;8.6;11.27;8.1;112.16
54;4;87.6;5.4;6.84;4.1;9.23;7.98;112.63
27;3;96.9;10.26;6.62;6.2;21.07;7.75;113.21
21;6;93;11.62;9.62;4;10.6;7.65;112.91
9;3;99.5;8.31;17.98;3.8;7;7.47;112.44
9;1;100.7;6.76;12.03;5.9;5.33;7.62;111.52
146;17;100;4.14;6.9;1.3;7.89;7.26;112.75
15;1;97.2;5.78;9.46;6.3;14.23;7.87;112.51
